,Total Number of Features,,,,,,,,,,
Optimization Function,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000
Quing,0.868449156,0.866448982,0.866448982,0.866448982,0.866448982,0.866448982,0.866448982,0.868232135,0.868232135,0.868232135,0.867953075
Sphere,0.793586164,0.794105939,0.794300722,0.794495433,0.794495433,0.794495433,0.795995074,0.795865008,0.795865008,0.796190113,0.796385079
SumSquares,0.793586164,0.793911084,0.794105939,0.795273557,0.795273557,0.796385079,0.796385079,0.796385079,0.796385079,0.796385079,0.796385079
Zakharov,0.744948273,0.744716151,0.744870909,0.744716151,0.744638757,0.744638757,0.744638757,0.745853317,0.745853317,0.745853317,0.745853317
Ackley,0.791371379,0.791240807,0.791371379,0.791762901,0.792088947,0.794171231,0.794953649,0.795083939,0.795083939,0.795083939,0.795669849
Alpine1,0.790702288,0.791427622,0.79159892,0.79248747,0.793966172,0.794163826,0.794493086,0.794887932,0.795611058,0.795939428,0.796661133
BentCigar,0.793586164,0.794105939,0.794300722,0.794495433,0.794495433,0.794495433,0.795995074,0.795865008,0.795865008,0.796190113,0.796385079
ChungReynolds,0.795403132,0.795403132,0.795597435,0.795597435,0.795985826,0.79637393,0.797488532,0.797293973,0.797293973,0.797293973,0.797293973
CosineMixture,0.868421432,0.866448982,0.866448982,0.866448982,0.866448982,0.866448982,0.866448982,0.86827677,0.86827677,0.86827677,0.867953075
Csendes,0.790238435,0.790238435,0.790433728,0.790628949,0.79455334,0.79455334,0.796095322,0.796095322,0.796095322,0.796095322,0.796095322
Discus,0.787839105,0.79005832,0.795881811,0.784031159,0.834216093,0.824668295,0.839221456,0.832556521,0.834708128,0.836960076,0.801509489
DixonPrice,0.793785442,0.793593289,0.793593289,0.793401065,0.793401065,0.793401065,0.794940875,0.794940875,0.794940875,0.794940875,0.794940875
Griewank,0.790433728,0.790433728,0.790433728,0.790433728,0.790238435,0.790238435,0.791762901,0.791762901,0.791762901,0.791762901,0.791762901
HappyCat,0.796803738,0.796608006,0.796803738,0.796803738,0.796608006,0.796608006,0.796608006,0.798167004,0.798167004,0.798167004,0.797970827
HGBat,0.787591988,0.787260037,0.787452594,0.787618535,0.787618535,0.787618535,0.787618535,0.789067483,0.789067483,0.789067483,0.788934464
Infinity,0.790238435,0.790238435,0.790433728,0.790628949,0.79455334,0.79455334,0.796095322,0.796095322,0.796095322,0.796095322,0.796095322
Levy,0.80532792,0.806865194,0.846552557,0.835527933,0.800720652,0.796774797,0.796774797,0.796902187,0.798245726,0.798438979,0.797911522
Powell,0.794690072,0.794495433,0.794690072,0.794690072,0.794495433,0.795995074,0.795995074,0.795995074,0.795995074,0.795995074,0.795995074
